_id,Submit_ID,Brand_Reg,Model_No,Family Name,SoldIn,Country,screensize,Screen_Area,Screen_Tech,Pasv_stnd_power,Act_stnd_power,Act_stnd_time,Avg_mode_power,Star,SRI,Labelled energy consumption (kWh/year),SubmitStatus,ExpDate,GrandDate,Product Class,Availability Status,Star2,Product Website,Representative Brand URL,Star Rating Index,Star Image Large,Star Image Small,Power supply,Tuner Type,What test standard was used,Registration Number,Regulatory Standard
2907,164202,Sphere,S924TVSB,S924,"Australia,New Zealand",China,60.47,1562.462784,LCD (LED),0.39,0.39,0.0,19.64,N/A,N/A,74.0,Approved,2029-08-28,,Single product class,Available,5.5,http://www.coastrv.com.au/,http://www.coastrv.com.au/,5.702901571552478,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_5.5_Star.eps,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-5.5.png,EPS,Digital,AS/NZS 62087.1:2010,ATV6302,Greenhouse and Energy Minimum Standards (Televisions) Determination 2013
2908,164202,Sphere,S924TVDVDSB,S924,"Australia,New Zealand",China,60.47,1562.462784,LCD (LED),0.39,0.39,0.0,19.64,N/A,N/A,74.0,Approved,2029-08-28,,Single product class,Available,5.5,http://www.coastrv.com.au/,http://www.coastrv.com.au/,5.702901571552478,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_5.5_Star.eps,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-5.5.png,EPS,Digital,AS/NZS 62087.1:2010,ATV6302,Greenhouse and Energy Minimum Standards (Televisions) Determination 2013
2909,164205,Sphere,S927TVSB,S927,"Australia,New Zealand",China,68.599,2010.76909056,LCD (LED),0.3,0.3,0.0,24.6,N/A,N/A,92.0,Approved,2029-08-28,,Single product class,Available,5.5,http://www.coastrv.com.au/,http://www.coastrv.com.au/,5.537230124415072,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_5.5_Star.eps,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-5.5.png,EPS,Digital,AS/NZS 62087.1:2010,ATV6301,Greenhouse and Energy Minimum Standards (Televisions) Determination 2013
2910,164205,Sphere,S927TVDVDSB,S927,"Australia,New Zealand",China,68.599,2010.76909056,LCD (LED),0.3,0.3,0.0,24.6,N/A,N/A,92.0,Approved,2029-08-28,,Single product class,Available,5.5,http://www.coastrv.com.au/,http://www.coastrv.com.au/,5.537230124415072,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_5.5_Star.eps,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-5.5.png,EPS,Digital,AS/NZS 62087.1:2010,ATV6301,Greenhouse and Energy Minimum Standards (Televisions) Determination 2013
2911,164202,Sphere,S924,S924,"Australia,New Zealand",China,60.47,1562.462784,LCD (LED),0.39,0.39,0.0,19.64,N/A,N/A,74.0,Approved,2029-08-28,,Single product class,Available,5.5,http://www.coastrv.com.au/,http://www.coastrv.com.au/,5.702901571552478,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_5.5_Star.eps,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-5.5.png,EPS,Digital,AS/NZS 62087.1:2010,ATV6302,Greenhouse and Energy Minimum Standards (Televisions) Determination 2013
2912,164205,Sphere,S927,S927,"Australia,New Zealand",China,68.599,2010.76909056,LCD (LED),0.3,0.3,0.0,24.6,N/A,N/A,92.0,Approved,2029-08-28,,Single product class,Available,5.5,http://www.coastrv.com.au/,http://www.coastrv.com.au/,5.537230124415072,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_5.5_Star.eps,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-5.5.png,EPS,Digital,AS/NZS 62087.1:2010,ATV6301,Greenhouse and Energy Minimum Standards (Televisions) Determination 2013
2913,164261,BAUHN,ATV32HDW-0824,,Australia,China,80.043,2737.0770999999995,LCD (LED),-,-,-,27.14,N/A,N/A,101.0,Approved,2029-09-10,,Single product class,Available,6.0,,http://www.tempoaustralia.com,6.182698305345105,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_6_Star.eps,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-6.png,Internal,Digital,AS/NZS 62087.1:2010,ATV6306,Greenhouse and Energy Minimum Standards (Televisions) Determination 2013
2914,164014,KOGAN,KAQL75XQ98GSVA series,KAQL75XQ98GSVA series,"Australia,Fiji,New Zealand",China,189.306,15312.0,LCD (LED),-,-,-,159.6,N/A,N/A,643.0,Approved,2029-09-02,,Single product class,Available,4.5,,,4.782789674433651,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_4.5_Star.eps,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-4.5.png,Internal,Digital,AS/NZS 62087.1:2010,ATV6304,Greenhouse and Energy Minimum Standards (Televisions) Determination 2013
2915,164267,KOGAN,KAQL85XQ98GSVA,KAQL85XQ98GS series,"Australia,Fiji,New Zealand",China,214.783,19712.16,LCD (LED),-,-,-,226.38,N/A,N/A,868.0,Approved,2029-09-02,,Single product class,Available,4.5,,,4.5261882460425475,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_4.5_Star.eps,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-4.5.png,Internal,Digital,AS/NZS 62087.1:2010,ATV6303,Greenhouse and Energy Minimum Standards (Televisions) Determination 2013
2916,164267,KOGAN,KAQL85XQ98GSVB,KAQL85XQ98GS series,"Australia,Fiji,New Zealand",China,214.783,19712.16,LCD (LED),-,-,-,226.38,N/A,N/A,868.0,Approved,2029-09-02,,Single product class,Available,4.5,,,4.5261882460425475,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_4.5_Star.eps,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-4.5.png,Internal,Digital,AS/NZS 62087.1:2010,ATV6303,Greenhouse and Energy Minimum Standards (Televisions) Determination 2013
